"id","Dia","Mes","Ano","Estado","Comunidad","Sitio","Latitud","Longitud","Habitat","Zona","TipoProteccion","ANP","BuzoMonitor","HoraInicial","HoraFinal","ProfundidadInicial","ProfundidadFinal","Temperatura","Visibilidad","Corriente","Transecto","Genero","Especie","GeneroEspecie","Sexo","Talla","ClaseTalla","Abundancia","RC"
"1 3 2014 El Aboyadero 19",1,3,2014,"Baja California Sur","Puerto Mateo","Piedra Patos",24.57129,-112.1083,"Arrecife rocoso","Control","Ninguna",NA,"Roger Romero","09:40","09:47",18.2,17.9,19,8,NA,19,"Paralabrax","maculatofasciatus","Paralabrax maculatofasciatus",NA,20,"11a20",1,"Gran Reserva - Piedra Patos"
"1 3 2014 El Aboyadero 19",1,3,2014,"Baja California Sur","Puerto Mateo","Piedra Patos",24.57129,-112.1083,"Arrecife rocoso","Control","Ninguna",NA,"Roger Romero","09:40","09:47",18.2,17.9,19,8,NA,19,"Semicossyphus","pulcher","Semicossyphus pulcher",NA,27,"20a30",3,"Gran Reserva - Piedra Patos"
"1 3 2014 El Aboyadero 20",1,3,2014,"Baja California Sur","Puerto Mateo","Piedra Patos",24.57422,-112.1044,"Arrecife rocoso","Control","Ninguna",NA,"Rauœl Romero","10:06","10:09",12.2,10.2,NA,5,NA,20,"Calamus","brachysomus","Calamus brachysomus",NA,15,"11a20",2,"Gran Reserva - Piedra Patos"
"1 3 2014 El Aboyadero 20",1,3,2014,"Baja California Sur","Puerto Mateo","Piedra Patos",24.57422,-112.1044,"Arrecife rocoso","Control","Ninguna",NA,"Rauœl Romero","10:06","10:09",12.2,10.2,NA,5,NA,20,"Paralabrax","maculatofasciatus","Paralabrax maculatofasciatus",NA,13,"11a20",3,"Gran Reserva - Piedra Patos"
"1 3 2014 El Aboyadero 20",1,3,2014,"Baja California Sur","Puerto Mateo","Piedra Patos",24.57422,-112.1044,"Arrecife rocoso","Control","Ninguna",NA,"Rauœl Romero","10:06","10:09",12.2,10.2,NA,5,NA,20,"Semicossyphus","pulcher","Semicossyphus pulcher",NA,18,"11a20",1,"Gran Reserva - Piedra Patos"
"1 3 2014 El Aboyadero 21",1,3,2014,"Baja California Sur","Puerto Mateo","Piedra Patos",24.57422,-112.1044,"Arrecife rocoso","Control","Ninguna",NA,"Rauœl Romero","10:31","10:35",11.3,10.2,NA,5,NA,21,"Hypsypops","rubicundus","Hypsypops rubicundus",NA,12,"11a20",1,"Gran Reserva - Piedra Patos"
"1 3 2014 El Aboyadero 21",1,3,2014,"Baja California Sur","Puerto Mateo","Piedra Patos",24.57422,-112.1044,"Arrecife rocoso","Control","Ninguna",NA,"Rauœl Romero","10:31","10:35",11.3,10.2,NA,5,NA,21,"Paralabrax","maculatofasciatus","Paralabrax maculatofasciatus",NA,10,"6a10",1,"Gran Reserva - Piedra Patos"
"1 3 2014 El Aboyadero 22",1,3,2014,"Baja California Sur","Puerto Mateo","Piedra Patos",24.57129,-112.1083,"Arrecife rocoso","Control","Ninguna",NA,"Roger Romero","00:01","00:07",18.2,17.9,19,8,NA,22,"Calamus","brachysomus","Calamus brachysomus",NA,19,"11a20",2,"Gran Reserva - Piedra Patos"
"1 3 2014 El Aboyadero 22",1,3,2014,"Baja California Sur","Puerto Mateo","Piedra Patos",24.57129,-112.1083,"Arrecife rocoso","Control","Ninguna",NA,"Roger Romero","00:01","00:07",18.2,17.9,19,8,NA,22,"Hypsypops","rubicundus","Hypsypops rubicundus",NA,20,"11a20",1,"Gran Reserva - Piedra Patos"
"1 3 2014 El Aboyadero 22",1,3,2014,"Baja California Sur","Puerto Mateo","Piedra Patos",24.57129,-112.1083,"Arrecife rocoso","Control","Ninguna",NA,"Roger Romero","00:01","00:07",18.2,17.9,19,8,NA,22,"Paralabrax","maculatofasciatus","Paralabrax maculatofasciatus",NA,20,"11a20",1,"Gran Reserva - Piedra Patos"
"1 3 2014 El Aboyadero 22",1,3,2014,"Baja California Sur","Puerto Mateo","Piedra Patos",24.57129,-112.1083,"Arrecife rocoso","Control","Ninguna",NA,"Roger Romero","00:01","00:07",18.2,17.9,19,8,NA,22,"Semicossyphus","pulcher","Semicossyphus pulcher","M",27,"20a30",3,"Gran Reserva - Piedra Patos"
"1 8 2015 Chinatown 1",1,8,2015,"Baja California","San Bartolo","Piedra Norte",29.78094,-115.7875,"Bosque de kelp","Reserva","Reserva comunitaria",NA,"Prudencio Quinones","2","6",10.9,10.7,15,9,NA,1,"Anisotremus","davidsonii","Anisotremus davidsonii",NA,0,"0a5",1,"Piedra Norte - Piedra Norte (Control)"
"1 8 2015 Chinatown 2",1,8,2015,"Baja California","San Bartolo","Piedra Norte",29.78094,-115.7875,"Bosque de kelp","Reserva","Reserva comunitaria",NA,"Rodrigo Acevedo","1","7",10.5,11,15,7,NA,2,"Anisotremus","davidsonii","Anisotremus davidsonii",NA,0,"0a5",1,"Piedra Norte - Piedra Norte (Control)"
"1 8 2015 Chinatown 3",1,8,2015,"Baja California","San Bartolo","Piedra Norte",29.78088,-115.7867,"Bosque de kelp","Reserva","Reserva comunitaria",NA,"Juan Martinez","1","6",10.9,10.9,13.8,5,NA,3,"Anisotremus","davidsonii","Anisotremus davidsonii",NA,0,"0a5",1,"Piedra Norte - Piedra Norte (Control)"
"1 8 2015 Chinatown 4",1,8,2015,"Baja California","San Bartolo","Piedra Norte",29.78088,-115.7867,"Bosque de kelp","Reserva","Reserva comunitaria",NA,"Juan Carlos Villasenor","1","4",12,12,NA,NA,NA,4,"Anisotremus","davidsonii","Anisotremus davidsonii",NA,0,"0a5",1,"Piedra Norte - Piedra Norte (Control)"
"1 8 2015 Chinatown 5",1,8,2015,"Baja California","San Bartolo","Piedra Norte",29.78094,-115.7875,"Bosque de kelp","Reserva","Reserva comunitaria",NA,"Arturo Hernandez","2","8",11,11.9,NA,NA,NA,5,"Anisotremus","davidsonii","Anisotremus davidsonii",NA,0,"0a5",1,"Piedra Norte - Piedra Norte (Control)"
"1 8 2015 La Lobera 1",1,8,2015,"Baja California","San Bartolo","Piedra Norte (Control)",29.77983,-115.7976,"Bosque de kelp","Control","Ninguna",NA,"Gregorio Tambo","1","6",11.5,11.2,15.5,7,NA,1,"Girella","nigricans","Girella nigricans",NA,18,"11a20",1,"Piedra Norte - Piedra Norte (Control)"
"1 8 2015 La Lobera 1",1,8,2015,"Baja California","San Bartolo","Piedra Norte (Control)",29.77983,-115.7976,"Bosque de kelp","Control","Ninguna",NA,"Gregorio Tambo","1","6",11.5,11.2,15.5,7,NA,1,"Paralabrax","clathratus","Paralabrax clathratus",NA,18,"11a20",1,"Piedra Norte - Piedra Norte (Control)"
"1 8 2015 La Lobera 1",1,8,2015,"Baja California","San Bartolo","Piedra Norte (Control)",29.77983,-115.7976,"Bosque de kelp","Control","Ninguna",NA,"Gregorio Tambo","1","6",11.5,11.2,15.5,7,NA,1,"Paralabrax","clathratus","Paralabrax clathratus",NA,20,"11a20",1,"Piedra Norte - Piedra Norte (Control)"
"1 8 2015 La Lobera 1",1,8,2015,"Baja California","San Bartolo","Piedra Norte (Control)",29.77983,-115.7976,"Bosque de kelp","Control","Ninguna",NA,"Gregorio Tambo","1","6",11.5,11.2,15.5,7,NA,1,"Paralabrax","clathratus","Paralabrax clathratus",NA,35,"30a40",1,"Piedra Norte - Piedra Norte (Control)"
"1 8 2015 La Lobera 1",1,8,2015,"Baja California","San Bartolo","Piedra Norte (Control)",29.77983,-115.7976,"Bosque de kelp","Control","Ninguna",NA,"Gregorio Tambo","1","6",11.5,11.2,15.5,7,NA,1,"Rhacochilus","vacca","Rhacochilus vacca",NA,18,"11a20",1,"Piedra Norte - Piedra Norte (Control)"
"1 8 2015 La Lobera 1",1,8,2015,"Baja California","San Bartolo","Piedra Norte (Control)",29.77983,-115.7976,"Bosque de kelp","Control","Ninguna",NA,"Gregorio Tambo","1","6",11.5,11.2,15.5,7,NA,1,"Semicossyphus","pulcher","Semicossyphus pulcher",NA,10,"6a10",1,"Piedra Norte - Piedra Norte (Control)"
"1 8 2015 La Lobera 1",1,8,2015,"Baja California","San Bartolo","Piedra Norte (Control)",29.77983,-115.7976,"Bosque de kelp","Control","Ninguna",NA,"Gregorio Tambo","1","6",11.5,11.2,15.5,7,NA,1,"Semicossyphus","pulcher","Semicossyphus pulcher",NA,15,"11a20",1,"Piedra Norte - Piedra Norte (Control)"
"1 8 2015 La Lobera 1",1,8,2015,"Baja California","San Bartolo","Piedra Norte (Control)",29.77983,-115.7976,"Bosque de kelp","Control","Ninguna",NA,"Gregorio Tambo","1","6",11.5,11.2,15.5,7,NA,1,"Semicossyphus","pulcher","Semicossyphus pulcher",NA,16,"11a20",1,"Piedra Norte - Piedra Norte (Control)"
"1 8 2015 La Lobera 1",1,8,2015,"Baja California","San Bartolo","Piedra Norte (Control)",29.77983,-115.7976,"Bosque de kelp","Control","Ninguna",NA,"Gregorio Tambo","1","6",11.5,11.2,15.5,7,NA,1,"Semicossyphus","pulcher","Semicossyphus pulcher",NA,17,"11a20",1,"Piedra Norte - Piedra Norte (Control)"
"1 8 2015 La Lobera 1",1,8,2015,"Baja California","San Bartolo","Piedra Norte (Control)",29.77983,-115.7976,"Bosque de kelp","Control","Ninguna",NA,"Gregorio Tambo","1","6",11.5,11.2,15.5,7,NA,1,"Semicossyphus","pulcher","Semicossyphus pulcher",NA,20,"11a20",1,"Piedra Norte - Piedra Norte (Control)"
"1 8 2015 La Lobera 1",1,8,2015,"Baja California","San Bartolo","Piedra Norte (Control)",29.77983,-115.7976,"Bosque de kelp","Control","Ninguna",NA,"Gregorio Tambo","1","6",11.5,11.2,15.5,7,NA,1,"Semicossyphus","pulcher","Semicossyphus pulcher",NA,28,"20a30",1,"Piedra Norte - Piedra Norte (Control)"
"1 8 2015 La Lobera 1",1,8,2015,"Baja California","San Bartolo","Piedra Norte (Control)",29.77983,-115.7976,"Bosque de kelp","Control","Ninguna",NA,"Gregorio Tambo","1","6",11.5,11.2,15.5,7,NA,1,"Semicossyphus","pulcher","Semicossyphus pulcher",NA,30,"20a30",1,"Piedra Norte - Piedra Norte (Control)"
"1 8 2015 La Lobera 10",1,8,2015,"Baja California","San Bartolo","Piedra Norte (Control)",29.78147,-115.8046,"Bosque de kelp","Control","Ninguna",NA,"Juan Carlos Villasenor","1","7",10,12.8,11.6,8,NA,10,"Chromis","punctipinnis","Chromis punctipinnis",NA,15,"11a20",1,"Piedra Norte - Piedra Norte (Control)"
"1 8 2015 La Lobera 10",1,8,2015,"Baja California","San Bartolo","Piedra Norte (Control)",29.78147,-115.8046,"Bosque de kelp","Control","Ninguna",NA,"Juan Carlos Villasenor","1","7",10,12.8,11.6,8,NA,10,"Girella","nigricans","Girella nigricans",NA,20,"11a20",1,"Piedra Norte - Piedra Norte (Control)"
"1 8 2015 La Lobera 10",1,8,2015,"Baja California","San Bartolo","Piedra Norte (Control)",29.78147,-115.8046,"Bosque de kelp","Control","Ninguna",NA,"Juan Carlos Villasenor","1","7",10,12.8,11.6,8,NA,10,"Hypsypops","rubicundus","Hypsypops rubicundus",NA,20,"11a20",2,"Piedra Norte - Piedra Norte (Control)"
"1 8 2015 La Lobera 10",1,8,2015,"Baja California","San Bartolo","Piedra Norte (Control)",29.78147,-115.8046,"Bosque de kelp","Control","Ninguna",NA,"Juan Carlos Villasenor","1","7",10,12.8,11.6,8,NA,10,"Hypsypops","rubicundus","Hypsypops rubicundus",NA,25,"20a30",1,"Piedra Norte - Piedra Norte (Control)"
"1 8 2015 La Lobera 10",1,8,2015,"Baja California","San Bartolo","Piedra Norte (Control)",29.78147,-115.8046,"Bosque de kelp","Control","Ninguna",NA,"Juan Carlos Villasenor","1","7",10,12.8,11.6,8,NA,10,"Paralabrax","clathratus","Paralabrax clathratus",NA,40,"30a40",1,"Piedra Norte - Piedra Norte (Control)"
"1 8 2015 La Lobera 10",1,8,2015,"Baja California","San Bartolo","Piedra Norte (Control)",29.78147,-115.8046,"Bosque de kelp","Control","Ninguna",NA,"Juan Carlos Villasenor","1","7",10,12.8,11.6,8,NA,10,"Sebastes","carnatus","Sebastes carnatus",NA,20,"11a20",1,"Piedra Norte - Piedra Norte (Control)"
"1 8 2015 La Lobera 10",1,8,2015,"Baja California","San Bartolo","Piedra Norte (Control)",29.78147,-115.8046,"Bosque de kelp","Control","Ninguna",NA,"Juan Carlos Villasenor","1","7",10,12.8,11.6,8,NA,10,"Semicossyphus","pulcher","Semicossyphus pulcher",NA,10,"6a10",3,"Piedra Norte - Piedra Norte (Control)"
"1 8 2015 La Lobera 10",1,8,2015,"Baja California","San Bartolo","Piedra Norte (Control)",29.78147,-115.8046,"Bosque de kelp","Control","Ninguna",NA,"Juan Carlos Villasenor","1","7",10,12.8,11.6,8,NA,10,"Semicossyphus","pulcher","Semicossyphus pulcher",NA,18,"11a20",1,"Piedra Norte - Piedra Norte (Control)"
"1 8 2015 La Lobera 10",1,8,2015,"Baja California","San Bartolo","Piedra Norte (Control)",29.78147,-115.8046,"Bosque de kelp","Control","Ninguna",NA,"Juan Carlos Villasenor","1","7",10,12.8,11.6,8,NA,10,"Semicossyphus","pulcher","Semicossyphus pulcher",NA,25,"20a30",3,"Piedra Norte - Piedra Norte (Control)"
"1 8 2015 La Lobera 11",1,8,2015,"Baja California","San Bartolo","Piedra Norte (Control)",29.84722,-115.775,"Bosque de kelp","Control","Ninguna",NA,"Juan Martinez","1","8",17.3,16.7,12.7,7,NA,11,"Chromis","punctipinnis","Chromis punctipinnis",NA,8,"6a10",3,"Piedra Norte - Piedra Norte (Control)"
"1 8 2015 La Lobera 11",1,8,2015,"Baja California","San Bartolo","Piedra Norte (Control)",29.84722,-115.775,"Bosque de kelp","Control","Ninguna",NA,"Juan Martinez","1","8",17.3,16.7,12.7,7,NA,11,"Chromis","punctipinnis","Chromis punctipinnis",NA,9,"6a10",2,"Piedra Norte - Piedra Norte (Control)"
"1 8 2015 La Lobera 11",1,8,2015,"Baja California","San Bartolo","Piedra Norte (Control)",29.84722,-115.775,"Bosque de kelp","Control","Ninguna",NA,"Juan Martinez","1","8",17.3,16.7,12.7,7,NA,11,"Chromis","punctipinnis","Chromis punctipinnis",NA,10,"6a10",2,"Piedra Norte - Piedra Norte (Control)"
"1 8 2015 La Lobera 11",1,8,2015,"Baja California","San Bartolo","Piedra Norte (Control)",29.84722,-115.775,"Bosque de kelp","Control","Ninguna",NA,"Juan Martinez","1","8",17.3,16.7,12.7,7,NA,11,"Chromis","punctipinnis","Chromis punctipinnis",NA,15,"11a20",5,"Piedra Norte - Piedra Norte (Control)"
"1 8 2015 La Lobera 11",1,8,2015,"Baja California","San Bartolo","Piedra Norte (Control)",29.84722,-115.775,"Bosque de kelp","Control","Ninguna",NA,"Juan Martinez","1","8",17.3,16.7,12.7,7,NA,11,"Hypsypops","rubicundus","Hypsypops rubicundus",NA,15,"11a20",2,"Piedra Norte - Piedra Norte (Control)"
"1 8 2015 La Lobera 11",1,8,2015,"Baja California","San Bartolo","Piedra Norte (Control)",29.84722,-115.775,"Bosque de kelp","Control","Ninguna",NA,"Juan Martinez","1","8",17.3,16.7,12.7,7,NA,11,"Hypsypops","rubicundus","Hypsypops rubicundus",NA,22,"20a30",2,"Piedra Norte - Piedra Norte (Control)"
"1 8 2015 La Lobera 11",1,8,2015,"Baja California","San Bartolo","Piedra Norte (Control)",29.84722,-115.775,"Bosque de kelp","Control","Ninguna",NA,"Juan Martinez","1","8",17.3,16.7,12.7,7,NA,11,"Semicossyphus","pulcher","Semicossyphus pulcher",NA,22,"20a30",2,"Piedra Norte - Piedra Norte (Control)"
"1 8 2015 La Lobera 11",1,8,2015,"Baja California","San Bartolo","Piedra Norte (Control)",29.84722,-115.775,"Bosque de kelp","Control","Ninguna",NA,"Juan Martinez","1","8",17.3,16.7,12.7,7,NA,11,"Semicossyphus","pulcher","Semicossyphus pulcher",NA,30,"20a30",1,"Piedra Norte - Piedra Norte (Control)"
"1 8 2015 La Lobera 11",1,8,2015,"Baja California","San Bartolo","Piedra Norte (Control)",29.84722,-115.775,"Bosque de kelp","Control","Ninguna",NA,"Juan Martinez","1","8",17.3,16.7,12.7,7,NA,11,"Semicossyphus","pulcher","Semicossyphus pulcher",NA,33,"30a40",1,"Piedra Norte - Piedra Norte (Control)"
