id,Dia,Mes,Ano,Estado,Comunidad,Sitio,Latitud,Longitud,Habitat,Zona,TipoProteccion,ANP,BuzoMonitor,HoraInicial,HoraFinal,ProfundidadInicial,ProfundidadFinal,Temperatura,Visibilidad,Corriente,Transecto,Genero,Especie,GeneroEspecie,Sexo,Talla,ClaseTalla,Abundancia,RC
11 8 2014 Punta Baja 1,11,8,2014,Baja California Sur,El Rosario,Punta Baja,29.97094,-115.8203,Bosque de kelp,Reserva,Reserva comunitaria,NA,Miguel Bracamontes,3,6,21,21.3,12.8,5,NA,1,Ophiodon,elongatus,Ophiodon elongatus,NA,NA,NA,0,PuntaBaja - Lazaro
11 8 2014 Punta Baja 1,11,8,2014,Baja California Sur,El Rosario,Punta Baja,29.97094,-115.8203,Bosque de kelp,Reserva,Reserva comunitaria,NA,Miguel Bracamontes,3,6,21,21.3,12.8,5,NA,1,Oxyjulis,californica,Oxyjulis californica,NA,NA,NA,0,PuntaBaja - Lazaro
11 8 2014 Punta Baja 1,11,8,2014,Baja California Sur,El Rosario,Punta Baja,29.97094,-115.8203,Bosque de kelp,Reserva,Reserva comunitaria,NA,Miguel Bracamontes,3,6,21,21.3,12.8,5,NA,1,Paralabrax,clathratus,Paralabrax clathratus,NA,NA,NA,0,PuntaBaja - Lazaro
11 8 2014 Punta Baja 1,11,8,2014,Baja California Sur,El Rosario,Punta Baja,29.97094,-115.8203,Bosque de kelp,Reserva,Reserva comunitaria,NA,Miguel Bracamontes,3,6,21,21.3,12.8,5,NA,1,Paralabrax,nebulifer,Paralabrax nebulifer,NA,NA,NA,0,PuntaBaja - Lazaro
11 8 2014 Punta Baja 1,11,8,2014,Baja California Sur,El Rosario,Punta Baja,29.97094,-115.8203,Bosque de kelp,Reserva,Reserva comunitaria,NA,Miguel Bracamontes,3,6,21,21.3,12.8,5,NA,1,Rhacochilus,vacca,Rhacochilus vacca,NA,NA,NA,0,PuntaBaja - Lazaro
11 8 2014 Punta Baja 1,11,8,2014,Baja California Sur,El Rosario,Punta Baja,29.97094,-115.8203,Bosque de kelp,Reserva,Reserva comunitaria,NA,Miguel Bracamontes,3,6,21,21.3,12.8,5,NA,1,Scorpaenichthys,marmoratus,Scorpaenichthys marmoratus,NA,NA,NA,0,PuntaBaja - Lazaro
11 8 2014 Punta Baja 1,11,8,2014,Baja California Sur,El Rosario,Punta Baja,29.97094,-115.8203,Bosque de kelp,Reserva,Reserva comunitaria,NA,Miguel Bracamontes,3,6,21,21.3,12.8,5,NA,1,Sebastes,atrovirens,Sebastes atrovirens,NA,NA,NA,0,PuntaBaja - Lazaro
11 8 2014 Punta Baja 1,11,8,2014,Baja California Sur,El Rosario,Punta Baja,29.97094,-115.8203,Bosque de kelp,Reserva,Reserva comunitaria,NA,Miguel Bracamontes,3,6,21,21.3,12.8,5,NA,1,Sebastes,auriculatus,Sebastes auriculatus,NA,NA,NA,0,PuntaBaja - Lazaro
11 8 2014 Punta Baja 1,11,8,2014,Baja California Sur,El Rosario,Punta Baja,29.97094,-115.8203,Bosque de kelp,Reserva,Reserva comunitaria,NA,Miguel Bracamontes,3,6,21,21.3,12.8,5,NA,1,Sebastes,carnatus,Sebastes carnatus,NA,NA,NA,0,PuntaBaja - Lazaro
11 8 2014 Punta Baja 1,11,8,2014,Baja California Sur,El Rosario,Punta Baja,29.97094,-115.8203,Bosque de kelp,Reserva,Reserva comunitaria,NA,Miguel Bracamontes,3,6,21,21.3,12.8,5,NA,1,Sebastes,caurinus,Sebastes caurinus,NA,NA,NA,0,PuntaBaja - Lazaro
11 8 2014 Punta Baja 1,11,8,2014,Baja California Sur,El Rosario,Punta Baja,29.97094,-115.8203,Bosque de kelp,Reserva,Reserva comunitaria,NA,Miguel Bracamontes,3,6,21,21.3,12.8,5,NA,1,Sebastes,chrysomelas,Sebastes chrysomelas,NA,NA,NA,0,PuntaBaja - Lazaro
11 8 2014 Punta Baja 1,11,8,2014,Baja California Sur,El Rosario,Punta Baja,29.97094,-115.8203,Bosque de kelp,Reserva,Reserva comunitaria,NA,Miguel Bracamontes,3,6,21,21.3,12.8,5,NA,1,Sebastes,flavidus,Sebastes flavidus,NA,NA,NA,0,PuntaBaja - Lazaro
11 8 2014 Punta Baja 1,11,8,2014,Baja California Sur,El Rosario,Punta Baja,29.97094,-115.8203,Bosque de kelp,Reserva,Reserva comunitaria,NA,Miguel Bracamontes,3,6,21,21.3,12.8,5,NA,1,Sebastes,rastrelliger,Sebastes rastrelliger,NA,NA,NA,0,PuntaBaja - Lazaro
11 8 2014 Punta Baja 1,11,8,2014,Baja California Sur,El Rosario,Punta Baja,29.97094,-115.8203,Bosque de kelp,Reserva,Reserva comunitaria,NA,Miguel Bracamontes,3,6,21,21.3,12.8,5,NA,1,Sebastes,rufus,Sebastes rufus,NA,NA,NA,0,PuntaBaja - Lazaro
11 8 2014 Punta Baja 1,11,8,2014,Baja California Sur,El Rosario,Punta Baja,29.97094,-115.8203,Bosque de kelp,Reserva,Reserva comunitaria,NA,Miguel Bracamontes,3,6,21,21.3,12.8,5,NA,1,Sebastes,serranoides,Sebastes serranoides,NA,NA,NA,0,PuntaBaja - Lazaro
11 8 2014 Punta Baja 1,11,8,2014,Baja California Sur,El Rosario,Punta Baja,29.97094,-115.8203,Bosque de kelp,Reserva,Reserva comunitaria,NA,Miguel Bracamontes,3,6,21,21.3,12.8,5,NA,1,Semicossyphus,pulcher,Semicossyphus pulcher,NA,NA,NA,0,PuntaBaja - Lazaro
11 8 2014 Punta Baja 1,11,8,2014,Baja California Sur,El Rosario,Punta Baja,29.97094,-115.8203,Bosque de kelp,Reserva,Reserva comunitaria,NA,Miguel Bracamontes,3,6,21,21.3,12.8,5,NA,1,Squatina,californica,Squatina californica,NA,NA,NA,0,PuntaBaja - Lazaro
11 8 2014 Punta Baja 1,11,8,2014,Baja California Sur,El Rosario,Punta Baja,29.97094,-115.8203,Bosque de kelp,Reserva,Reserva comunitaria,NA,Miguel Bracamontes,3,6,21,21.3,12.8,5,NA,1,Stereolepis,gigas,Stereolepis gigas,NA,NA,NA,0,PuntaBaja - Lazaro
11 8 2014 Punta Baja 10,11,8,2014,Baja California Sur,El Rosario,Punta Baja,29.96996,-115.8203,Bosque de kelp,Reserva,Reserva comunitaria,NA,Prudencio Quinones,10:10,10:15,19,19,16,4,NA,10,Anisotremus,davidsonii,Anisotremus davidsonii,NA,NA,NA,0,PuntaBaja - Lazaro
11 8 2014 Punta Baja 10,11,8,2014,Baja California Sur,El Rosario,Punta Baja,29.96996,-115.8203,Bosque de kelp,Reserva,Reserva comunitaria,NA,Prudencio Quinones,10:10,10:15,19,19,16,4,NA,10,Caulolatilus,princeps,Caulolatilus princeps,NA,NA,NA,0,PuntaBaja - Lazaro
11 8 2014 Punta Baja 10,11,8,2014,Baja California Sur,El Rosario,Punta Baja,29.96996,-115.8203,Bosque de kelp,Reserva,Reserva comunitaria,NA,Prudencio Quinones,10:10,10:15,19,19,16,4,NA,10,Chromis,punctipinnis,Chromis punctipinnis,NA,NA,NA,0,PuntaBaja - Lazaro
11 8 2014 Punta Baja 10,11,8,2014,Baja California Sur,El Rosario,Punta Baja,29.96996,-115.8203,Bosque de kelp,Reserva,Reserva comunitaria,NA,Prudencio Quinones,10:10,10:15,19,19,16,4,NA,10,Embiotoca,jacksoni,Embiotoca jacksoni,NA,NA,NA,0,PuntaBaja - Lazaro
11 8 2014 Punta Baja 10,11,8,2014,Baja California Sur,El Rosario,Punta Baja,29.96996,-115.8203,Bosque de kelp,Reserva,Reserva comunitaria,NA,Prudencio Quinones,10:10,10:15,19,19,16,4,NA,10,Girella,nigricans,Girella nigricans,NA,NA,NA,0,PuntaBaja - Lazaro
11 8 2014 Punta Baja 10,11,8,2014,Baja California Sur,El Rosario,Punta Baja,29.96996,-115.8203,Bosque de kelp,Reserva,Reserva comunitaria,NA,Prudencio Quinones,10:10,10:15,19,19,16,4,NA,10,Halichoeres,semicinctus,Halichoeres semicinctus,NA,NA,NA,0,PuntaBaja - Lazaro
11 8 2014 Punta Baja 10,11,8,2014,Baja California Sur,El Rosario,Punta Baja,29.96996,-115.8203,Bosque de kelp,Reserva,Reserva comunitaria,NA,Prudencio Quinones,10:10,10:15,19,19,16,4,NA,10,Heterodontus,francisci,Heterodontus francisci,NA,NA,NA,0,PuntaBaja - Lazaro
11 8 2014 Punta Baja 10,11,8,2014,Baja California Sur,El Rosario,Punta Baja,29.96996,-115.8203,Bosque de kelp,Reserva,Reserva comunitaria,NA,Prudencio Quinones,10:10,10:15,19,19,16,4,NA,10,Hypsypops,rubicundus,Hypsypops rubicundus,NA,NA,NA,0,PuntaBaja - Lazaro
11 8 2014 Punta Baja 10,11,8,2014,Baja California Sur,El Rosario,Punta Baja,29.96996,-115.8203,Bosque de kelp,Reserva,Reserva comunitaria,NA,Prudencio Quinones,10:10,10:15,19,19,16,4,NA,10,Medialuna,californiensis,Medialuna californiensis,NA,NA,NA,0,PuntaBaja - Lazaro
11 8 2014 Punta Baja 10,11,8,2014,Baja California Sur,El Rosario,Punta Baja,29.96996,-115.8203,Bosque de kelp,Reserva,Reserva comunitaria,NA,Prudencio Quinones,10:10,10:15,19,19,16,4,NA,10,Mycteroperca,spp,Mycteroperca spp,NA,NA,NA,0,PuntaBaja - Lazaro
11 8 2014 Punta Baja 10,11,8,2014,Baja California Sur,El Rosario,Punta Baja,29.96996,-115.8203,Bosque de kelp,Reserva,Reserva comunitaria,NA,Prudencio Quinones,10:10,10:15,19,19,16,4,NA,10,Ophiodon,elongatus,Ophiodon elongatus,NA,NA,NA,0,PuntaBaja - Lazaro
11 8 2014 Punta Baja 10,11,8,2014,Baja California Sur,El Rosario,Punta Baja,29.96996,-115.8203,Bosque de kelp,Reserva,Reserva comunitaria,NA,Prudencio Quinones,10:10,10:15,19,19,16,4,NA,10,Oxyjulis,californica,Oxyjulis californica,NA,NA,NA,0,PuntaBaja - Lazaro
11 8 2014 Punta Baja 10,11,8,2014,Baja California Sur,El Rosario,Punta Baja,29.96996,-115.8203,Bosque de kelp,Reserva,Reserva comunitaria,NA,Prudencio Quinones,10:10,10:15,19,19,16,4,NA,10,Paralabrax,clathratus,Paralabrax clathratus,NA,NA,NA,0,PuntaBaja - Lazaro
11 8 2014 Punta Baja 10,11,8,2014,Baja California Sur,El Rosario,Punta Baja,29.96996,-115.8203,Bosque de kelp,Reserva,Reserva comunitaria,NA,Prudencio Quinones,10:10,10:15,19,19,16,4,NA,10,Paralabrax,nebulifer,Paralabrax nebulifer,NA,NA,NA,0,PuntaBaja - Lazaro
11 8 2014 Punta Baja 10,11,8,2014,Baja California Sur,El Rosario,Punta Baja,29.96996,-115.8203,Bosque de kelp,Reserva,Reserva comunitaria,NA,Prudencio Quinones,10:10,10:15,19,19,16,4,NA,10,Rhacochilus,vacca,Rhacochilus vacca,NA,NA,NA,0,PuntaBaja - Lazaro
11 8 2014 Punta Baja 10,11,8,2014,Baja California Sur,El Rosario,Punta Baja,29.96996,-115.8203,Bosque de kelp,Reserva,Reserva comunitaria,NA,Prudencio Quinones,10:10,10:15,19,19,16,4,NA,10,Scorpaenichthys,marmoratus,Scorpaenichthys marmoratus,NA,NA,NA,0,PuntaBaja - Lazaro
11 8 2014 Punta Baja 10,11,8,2014,Baja California Sur,El Rosario,Punta Baja,29.96996,-115.8203,Bosque de kelp,Reserva,Reserva comunitaria,NA,Prudencio Quinones,10:10,10:15,19,19,16,4,NA,10,Sebastes,atrovirens,Sebastes atrovirens,NA,NA,NA,0,PuntaBaja - Lazaro
11 8 2014 Punta Baja 10,11,8,2014,Baja California Sur,El Rosario,Punta Baja,29.96996,-115.8203,Bosque de kelp,Reserva,Reserva comunitaria,NA,Prudencio Quinones,10:10,10:15,19,19,16,4,NA,10,Sebastes,auriculatus,Sebastes auriculatus,NA,NA,NA,0,PuntaBaja - Lazaro
11 8 2014 Punta Baja 10,11,8,2014,Baja California Sur,El Rosario,Punta Baja,29.96996,-115.8203,Bosque de kelp,Reserva,Reserva comunitaria,NA,Prudencio Quinones,10:10,10:15,19,19,16,4,NA,10,Sebastes,carnatus,Sebastes carnatus,NA,NA,NA,0,PuntaBaja - Lazaro
11 8 2014 Punta Baja 10,11,8,2014,Baja California Sur,El Rosario,Punta Baja,29.96996,-115.8203,Bosque de kelp,Reserva,Reserva comunitaria,NA,Prudencio Quinones,10:10,10:15,19,19,16,4,NA,10,Sebastes,caurinus,Sebastes caurinus,NA,NA,NA,0,PuntaBaja - Lazaro
11 8 2014 Punta Baja 10,11,8,2014,Baja California Sur,El Rosario,Punta Baja,29.96996,-115.8203,Bosque de kelp,Reserva,Reserva comunitaria,NA,Prudencio Quinones,10:10,10:15,19,19,16,4,NA,10,Sebastes,chrysomelas,Sebastes chrysomelas,NA,NA,NA,0,PuntaBaja - Lazaro
11 8 2014 Punta Baja 10,11,8,2014,Baja California Sur,El Rosario,Punta Baja,29.96996,-115.8203,Bosque de kelp,Reserva,Reserva comunitaria,NA,Prudencio Quinones,10:10,10:15,19,19,16,4,NA,10,Sebastes,flavidus,Sebastes flavidus,NA,NA,NA,0,PuntaBaja - Lazaro
11 8 2014 Punta Baja 10,11,8,2014,Baja California Sur,El Rosario,Punta Baja,29.96996,-115.8203,Bosque de kelp,Reserva,Reserva comunitaria,NA,Prudencio Quinones,10:10,10:15,19,19,16,4,NA,10,Sebastes,rastrelliger,Sebastes rastrelliger,NA,NA,NA,0,PuntaBaja - Lazaro
11 8 2014 Punta Baja 10,11,8,2014,Baja California Sur,El Rosario,Punta Baja,29.96996,-115.8203,Bosque de kelp,Reserva,Reserva comunitaria,NA,Prudencio Quinones,10:10,10:15,19,19,16,4,NA,10,Sebastes,rufus,Sebastes rufus,NA,NA,NA,0,PuntaBaja - Lazaro
11 8 2014 Punta Baja 10,11,8,2014,Baja California Sur,El Rosario,Punta Baja,29.96996,-115.8203,Bosque de kelp,Reserva,Reserva comunitaria,NA,Prudencio Quinones,10:10,10:15,19,19,16,4,NA,10,Sebastes,serranoides,Sebastes serranoides,NA,NA,NA,0,PuntaBaja - Lazaro
11 8 2014 Punta Baja 10,11,8,2014,Baja California Sur,El Rosario,Punta Baja,29.96996,-115.8203,Bosque de kelp,Reserva,Reserva comunitaria,NA,Prudencio Quinones,10:10,10:15,19,19,16,4,NA,10,Semicossyphus,pulcher,Semicossyphus pulcher,NA,NA,NA,0,PuntaBaja - Lazaro
11 8 2014 Punta Baja 10,11,8,2014,Baja California Sur,El Rosario,Punta Baja,29.96996,-115.8203,Bosque de kelp,Reserva,Reserva comunitaria,NA,Prudencio Quinones,10:10,10:15,19,19,16,4,NA,10,Squatina,californica,Squatina californica,NA,NA,NA,0,PuntaBaja - Lazaro
11 8 2014 Punta Baja 10,11,8,2014,Baja California Sur,El Rosario,Punta Baja,29.96996,-115.8203,Bosque de kelp,Reserva,Reserva comunitaria,NA,Prudencio Quinones,10:10,10:15,19,19,16,4,NA,10,Stereolepis,gigas,Stereolepis gigas,NA,NA,NA,0,PuntaBaja - Lazaro
11 8 2014 Punta Baja 11,11,8,2014,Baja California Sur,El Rosario,Punta Baja,29.47279,-115.4137,Bosque de kelp,Reserva,Reserva comunitaria,NA,Prudencio Quinones,11:07,11:12,16.6,16.6,16,4,NA,11,Anisotremus,davidsonii,Anisotremus davidsonii,NA,NA,NA,0,PuntaBaja - Lazaro
11 8 2014 Punta Baja 11,11,8,2014,Baja California Sur,El Rosario,Punta Baja,29.47279,-115.4137,Bosque de kelp,Reserva,Reserva comunitaria,NA,Prudencio Quinones,11:07,11:12,16.6,16.6,16,4,NA,11,Caulolatilus,princeps,Caulolatilus princeps,NA,NA,NA,0,PuntaBaja - Lazaro
11 8 2014 Punta Baja 11,11,8,2014,Baja California Sur,El Rosario,Punta Baja,29.47279,-115.4137,Bosque de kelp,Reserva,Reserva comunitaria,NA,Prudencio Quinones,11:07,11:12,16.6,16.6,16,4,NA,11,Chromis,punctipinnis,Chromis punctipinnis,NA,NA,NA,0,PuntaBaja - Lazaro
11 8 2014 Punta Baja 11,11,8,2014,Baja California Sur,El Rosario,Punta Baja,29.47279,-115.4137,Bosque de kelp,Reserva,Reserva comunitaria,NA,Prudencio Quinones,11:07,11:12,16.6,16.6,16,4,NA,11,Embiotoca,jacksoni,Embiotoca jacksoni,NA,18,11a20,1,PuntaBaja - Lazaro
11 8 2014 Punta Baja 11,11,8,2014,Baja California Sur,El Rosario,Punta Baja,29.47279,-115.4137,Bosque de kelp,Reserva,Reserva comunitaria,NA,Prudencio Quinones,11:07,11:12,16.6,16.6,16,4,NA,11,Girella,nigricans,Girella nigricans,NA,NA,NA,0,PuntaBaja - Lazaro
11 8 2014 Punta Baja 11,11,8,2014,Baja California Sur,El Rosario,Punta Baja,29.47279,-115.4137,Bosque de kelp,Reserva,Reserva comunitaria,NA,Prudencio Quinones,11:07,11:12,16.6,16.6,16,4,NA,11,Halichoeres,semicinctus,Halichoeres semicinctus,NA,NA,NA,0,PuntaBaja - Lazaro
11 8 2014 Punta Baja 11,11,8,2014,Baja California Sur,El Rosario,Punta Baja,29.47279,-115.4137,Bosque de kelp,Reserva,Reserva comunitaria,NA,Prudencio Quinones,11:07,11:12,16.6,16.6,16,4,NA,11,Heterodontus,francisci,Heterodontus francisci,NA,NA,NA,0,PuntaBaja - Lazaro
11 8 2014 Punta Baja 11,11,8,2014,Baja California Sur,El Rosario,Punta Baja,29.47279,-115.4137,Bosque de kelp,Reserva,Reserva comunitaria,NA,Prudencio Quinones,11:07,11:12,16.6,16.6,16,4,NA,11,Hypsypops,rubicundus,Hypsypops rubicundus,NA,NA,NA,0,PuntaBaja - Lazaro
11 8 2014 Punta Baja 11,11,8,2014,Baja California Sur,El Rosario,Punta Baja,29.47279,-115.4137,Bosque de kelp,Reserva,Reserva comunitaria,NA,Prudencio Quinones,11:07,11:12,16.6,16.6,16,4,NA,11,Medialuna,californiensis,Medialuna californiensis,NA,NA,NA,0,PuntaBaja - Lazaro
11 8 2014 Punta Baja 11,11,8,2014,Baja California Sur,El Rosario,Punta Baja,29.47279,-115.4137,Bosque de kelp,Reserva,Reserva comunitaria,NA,Prudencio Quinones,11:07,11:12,16.6,16.6,16,4,NA,11,Mycteroperca,spp,Mycteroperca spp,NA,NA,NA,0,PuntaBaja - Lazaro
11 8 2014 Punta Baja 11,11,8,2014,Baja California Sur,El Rosario,Punta Baja,29.47279,-115.4137,Bosque de kelp,Reserva,Reserva comunitaria,NA,Prudencio Quinones,11:07,11:12,16.6,16.6,16,4,NA,11,Ophiodon,elongatus,Ophiodon elongatus,NA,NA,NA,0,PuntaBaja - Lazaro
11 8 2014 Punta Baja 11,11,8,2014,Baja California Sur,El Rosario,Punta Baja,29.47279,-115.4137,Bosque de kelp,Reserva,Reserva comunitaria,NA,Prudencio Quinones,11:07,11:12,16.6,16.6,16,4,NA,11,Oxyjulis,californica,Oxyjulis californica,NA,NA,NA,0,PuntaBaja - Lazaro
11 8 2014 Punta Baja 11,11,8,2014,Baja California Sur,El Rosario,Punta Baja,29.47279,-115.4137,Bosque de kelp,Reserva,Reserva comunitaria,NA,Prudencio Quinones,11:07,11:12,16.6,16.6,16,4,NA,11,Paralabrax,clathratus,Paralabrax clathratus,NA,NA,NA,0,PuntaBaja - Lazaro
11 8 2014 Punta Baja 11,11,8,2014,Baja California Sur,El Rosario,Punta Baja,29.47279,-115.4137,Bosque de kelp,Reserva,Reserva comunitaria,NA,Prudencio Quinones,11:07,11:12,16.6,16.6,16,4,NA,11,Paralabrax,nebulifer,Paralabrax nebulifer,NA,NA,NA,0,PuntaBaja - Lazaro
11 8 2014 Punta Baja 11,11,8,2014,Baja California Sur,El Rosario,Punta Baja,29.47279,-115.4137,Bosque de kelp,Reserva,Reserva comunitaria,NA,Prudencio Quinones,11:07,11:12,16.6,16.6,16,4,NA,11,Rhacochilus,vacca,Rhacochilus vacca,NA,NA,NA,0,PuntaBaja - Lazaro
11 8 2014 Punta Baja 11,11,8,2014,Baja California Sur,El Rosario,Punta Baja,29.47279,-115.4137,Bosque de kelp,Reserva,Reserva comunitaria,NA,Prudencio Quinones,11:07,11:12,16.6,16.6,16,4,NA,11,Scorpaenichthys,marmoratus,Scorpaenichthys marmoratus,NA,NA,NA,0,PuntaBaja - Lazaro
11 8 2014 Punta Baja 11,11,8,2014,Baja California Sur,El Rosario,Punta Baja,29.47279,-115.4137,Bosque de kelp,Reserva,Reserva comunitaria,NA,Prudencio Quinones,11:07,11:12,16.6,16.6,16,4,NA,11,Sebastes,atrovirens,Sebastes atrovirens,NA,NA,NA,0,PuntaBaja - Lazaro
11 8 2014 Punta Baja 11,11,8,2014,Baja California Sur,El Rosario,Punta Baja,29.47279,-115.4137,Bosque de kelp,Reserva,Reserva comunitaria,NA,Prudencio Quinones,11:07,11:12,16.6,16.6,16,4,NA,11,Sebastes,auriculatus,Sebastes auriculatus,NA,27,20a30,1,PuntaBaja - Lazaro
11 8 2014 Punta Baja 11,11,8,2014,Baja California Sur,El Rosario,Punta Baja,29.47279,-115.4137,Bosque de kelp,Reserva,Reserva comunitaria,NA,Prudencio Quinones,11:07,11:12,16.6,16.6,16,4,NA,11,Sebastes,auriculatus,Sebastes auriculatus,NA,40,30a40,1,PuntaBaja - Lazaro
11 8 2014 Punta Baja 11,11,8,2014,Baja California Sur,El Rosario,Punta Baja,29.47279,-115.4137,Bosque de kelp,Reserva,Reserva comunitaria,NA,Prudencio Quinones,11:07,11:12,16.6,16.6,16,4,NA,11,Sebastes,auriculatus,Sebastes auriculatus,NA,50,>40,1,PuntaBaja - Lazaro
11 8 2014 Punta Baja 11,11,8,2014,Baja California Sur,El Rosario,Punta Baja,29.47279,-115.4137,Bosque de kelp,Reserva,Reserva comunitaria,NA,Prudencio Quinones,11:07,11:12,16.6,16.6,16,4,NA,11,Sebastes,carnatus,Sebastes carnatus,NA,NA,NA,0,PuntaBaja - Lazaro
11 8 2014 Punta Baja 11,11,8,2014,Baja California Sur,El Rosario,Punta Baja,29.47279,-115.4137,Bosque de kelp,Reserva,Reserva comunitaria,NA,Prudencio Quinones,11:07,11:12,16.6,16.6,16,4,NA,11,Sebastes,caurinus,Sebastes caurinus,NA,NA,NA,0,PuntaBaja - Lazaro
11 8 2014 Punta Baja 11,11,8,2014,Baja California Sur,El Rosario,Punta Baja,29.47279,-115.4137,Bosque de kelp,Reserva,Reserva comunitaria,NA,Prudencio Quinones,11:07,11:12,16.6,16.6,16,4,NA,11,Sebastes,chrysomelas,Sebastes chrysomelas,NA,NA,NA,0,PuntaBaja - Lazaro
11 8 2014 Punta Baja 11,11,8,2014,Baja California Sur,El Rosario,Punta Baja,29.47279,-115.4137,Bosque de kelp,Reserva,Reserva comunitaria,NA,Prudencio Quinones,11:07,11:12,16.6,16.6,16,4,NA,11,Sebastes,flavidus,Sebastes flavidus,NA,NA,NA,0,PuntaBaja - Lazaro
11 8 2014 Punta Baja 11,11,8,2014,Baja California Sur,El Rosario,Punta Baja,29.47279,-115.4137,Bosque de kelp,Reserva,Reserva comunitaria,NA,Prudencio Quinones,11:07,11:12,16.6,16.6,16,4,NA,11,Sebastes,rastrelliger,Sebastes rastrelliger,NA,NA,NA,0,PuntaBaja - Lazaro
11 8 2014 Punta Baja 11,11,8,2014,Baja California Sur,El Rosario,Punta Baja,29.47279,-115.4137,Bosque de kelp,Reserva,Reserva comunitaria,NA,Prudencio Quinones,11:07,11:12,16.6,16.6,16,4,NA,11,Sebastes,rufus,Sebastes rufus,NA,NA,NA,0,PuntaBaja - Lazaro
11 8 2014 Punta Baja 11,11,8,2014,Baja California Sur,El Rosario,Punta Baja,29.47279,-115.4137,Bosque de kelp,Reserva,Reserva comunitaria,NA,Prudencio Quinones,11:07,11:12,16.6,16.6,16,4,NA,11,Sebastes,serranoides,Sebastes serranoides,NA,NA,NA,0,PuntaBaja - Lazaro
11 8 2014 Punta Baja 11,11,8,2014,Baja California Sur,El Rosario,Punta Baja,29.47279,-115.4137,Bosque de kelp,Reserva,Reserva comunitaria,NA,Prudencio Quinones,11:07,11:12,16.6,16.6,16,4,NA,11,Semicossyphus,pulcher,Semicossyphus pulcher,NA,30,20a30,1,PuntaBaja - Lazaro
