Comunidad,Sitio,RC,Zonificacion,Ano,Transecto,GeneroEspecie,Talla,Abundancia,ProfundidadInicial,Visibilidad,Temperatura
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,NA,NA,0,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,NA,NA,0,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,NA,NA,0,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,NA,NA,0,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,Oxyjulis californica,4,3,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,Oxyjulis californica,6,13,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,Oxyjulis californica,7,15,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,Oxyjulis californica,8,5,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,Oxyjulis californica,9,36,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,Oxyjulis californica,10,43,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,Oxyjulis californica,11,3,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,Oxyjulis californica,13,13,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,Oxyjulis californica,16,1,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,Oxyjulis californica,19,8,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,NA,NA,0,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,Paralabrax clathratus,15,3,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,Paralabrax clathratus,18,1,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,Paralabrax clathratus,22,1,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,Paralabrax clathratus,23,2,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,Paralabrax clathratus,25,2,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,Paralabrax clathratus,26,1,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,Paralabrax clathratus,28,1,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,Paralabrax clathratus,30,3,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,Paralabrax clathratus,31,1,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,Paralabrax clathratus,32,1,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,Paralabrax clathratus,35,4,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,Paralabrax clathratus,36,1,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,Paralabrax clathratus,40,6,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,Paralabrax clathratus,49,1,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,Paralabrax clathratus,50,1,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,Paralabrax clathratus,55,1,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,Paralabrax clathratus,62,1,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,NA,NA,0,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,NA,NA,0,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,Rhacochilus vacca,18,2,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,Rhacochilus vacca,21,3,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,Rhacochilus vacca,28,2,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,NA,NA,0,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,NA,NA,0,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,Sebastes atrovirens,15,1,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,Sebastes atrovirens,30,2,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,NA,NA,0,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,Sebastes auriculatus,15,1,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,Sebastes auriculatus,20,1,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,Sebastes auriculatus,23,1,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,Sebastes auriculatus,24,2,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,Sebastes auriculatus,28,1,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,Sebastes auriculatus,36,1,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,NA,NA,0,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,Sebastes carnatus,20,1,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,Sebastes carnatus,26,1,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,Sebastes carnatus,28,1,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,Sebastes carnatus,30,2,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,NA,NA,0,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,NA,NA,0,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,Sebastes chrysomelas,25,2,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,NA,NA,0,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,NA,NA,0,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,Sebastes rastrelliger,27,1,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,NA,NA,0,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,Sebastes rufus,30,1,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,NA,NA,0,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,Sebastes serranoides,10,1,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,Sebastes serranoides,13,2,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,Sebastes serranoides,20,1,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,Sebastes serranoides,22,1,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,Sebastes serranoides,25,1,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,Sebastes serranoides,28,1,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,NA,NA,0,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,Semicossyphus pulcher,9,1,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,Semicossyphus pulcher,10,1,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,Semicossyphus pulcher,18,1,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,Semicossyphus pulcher,20,1,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,Semicossyphus pulcher,23,1,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,Semicossyphus pulcher,25,4,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,Semicossyphus pulcher,26,1,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,Semicossyphus pulcher,28,1,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,Semicossyphus pulcher,29,1,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,Semicossyphus pulcher,30,6,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,Semicossyphus pulcher,31,2,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,Semicossyphus pulcher,35,2,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,Semicossyphus pulcher,37,2,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,Semicossyphus pulcher,40,5,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,Semicossyphus pulcher,42,1,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,Semicossyphus pulcher,44,1,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,Semicossyphus pulcher,45,2,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,Semicossyphus pulcher,48,1,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,Semicossyphus pulcher,50,4,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,Semicossyphus pulcher,53,1,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,Semicossyphus pulcher,54,1,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,Semicossyphus pulcher,55,1,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,Semicossyphus pulcher,56,2,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,Semicossyphus pulcher,61,1,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,Semicossyphus pulcher,62,1,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,Semicossyphus pulcher,64,1,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,Semicossyphus pulcher,70,1,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,NA,NA,0,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,Squatina californica,10,4,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,NA,NA,0,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2014,1,NA,NA,0,15,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2015,1,NA,NA,0,18,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2015,1,Caulolatilus princeps,50,1,18,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2015,1,NA,NA,0,18,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2015,1,Chromis punctipinnis,5,10,18,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2015,1,Chromis punctipinnis,8,15,18,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2015,1,Chromis punctipinnis,10,2,18,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2015,1,Chromis punctipinnis,15,1,18,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2015,1,NA,NA,0,18,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2015,1,Embiotoca jacksoni,18,1,18,8,12
El Rosario,Lazaro,Sportfish-Lazaro,Control,2015,1,Embiotoca jacksoni,20,2,18,8,12
